1;Tinamiformes;Tinamous;Tinamofåglar;Tinamidae;Tinamous;Tinamoer
6439;Passeriformes;Perching Birds;Tättingar;Eulacestomidae;Ploughbill;Plognäbbar
6441;Passeriformes;Perching Birds;Tättingar;Oreoicidae;Australo-Papuan Bellbirds;Klockfåglar
6445;Passeriformes;Perching Birds;Tättingar;Pachycephalidae;Whistlers and allies;Visslare
6502;Passeriformes;Perching Birds;Tättingar;Laniidae;Shrikes;Törnskator
6536;Passeriformes;Perching Birds;Tättingar;Vireonidae;Vireos, Greenlets;Vireor
6600;Passeriformes;Perching Birds;Tättingar;Oriolidae;Figbirds, Orioles;Gyllingar
6639;Passeriformes;Perching Birds;Tättingar;Dicruridae;Drongos;Drongoer
6665;Passeriformes;Perching Birds;Tättingar;Rhipiduridae;Fantails;Solfjäderstjärtar
6716;Passeriformes;Perching Birds;Tättingar;Monarchidae;Monarchs;Monarker
6816;Passeriformes;Perching Birds;Tättingar;Corvidae;Crows, Jays;Kråkfåglar
6947;Passeriformes;Perching Birds;Tättingar;Corcoracidae;Australian Mudnesters;Murarkråkor
6950;Passeriformes;Perching Birds;Tättingar;Melampittidae;Melampittas;Svartpittor
6953;Passeriformes;Perching Birds;Tättingar;Ifritidae;Ifrita;Ifriter
6955;Passeriformes;Perching Birds;Tättingar;Paradisaeidae;Birds-of-paradise;Paradisfåglar
6997;Passeriformes;Perching Birds;Tättingar;Petroicidae;Australasian Robins;Sydhakar
7044;Passeriformes;Perching Birds;Tättingar;Picathartidae;Rockfowl;Kråktrastar
7047;Passeriformes;Perching Birds;Tättingar;Chaetopidae;Rockjumpers;Klipphoppare
7050;Passeriformes;Perching Birds;Tättingar;Eupetidae;Rail-babbler;Ralltrastar
7052;Passeriformes;Perching Birds;Tättingar;Bombycillidae;Waxwings;Sidensvansar
7056;Passeriformes;Perching Birds;Tättingar;Ptiliogonatidae;Silky-flycatchers;Silkesflugsnappare
7061;Passeriformes;Perching Birds;Tättingar;Hypocoliidae;Hypocolius;Hypokolier
7063;Passeriformes;Perching Birds;Tättingar;Dulidae;Palmchat;Palmtrastar
7065;Passeriformes;Perching Birds;Tättingar;Mohoidae;Oos;Ooer †
7071;Passeriformes;Perching Birds;Tättingar;Hylocitreidae;Hylocitrea;Hylocitreor
7073;Passeriformes;Perching Birds;Tättingar;Stenostiridae;Fairy Flycatchers;Feflugsnappare
7083;Passeriformes;Perching Birds;Tättingar;Paridae;Tits, Chickadees;Mesar
7148;Passeriformes;Perching Birds;Tättingar;Remizidae;Penduline Tits;Pungmesar
7160;Passeriformes;Perching Birds;Tättingar;Nicatoridae;Nicators;Nikatorer
7164;Passeriformes;Perching Birds;Tättingar;Panuridae;Bearded Reedling;Skäggmesar
7166;Passeriformes;Perching Birds;Tättingar;Alaudidae;Larks;Lärkor
7264;Passeriformes;Perching Birds;Tättingar;Pycnonotidae;Bulbuls;Bulbyler
7416;Passeriformes;Perching Birds;Tättingar;Hirundinidae;Swallows, Martins;Svalor
